ə,639
n,196
m,185
tə,136
s,129
də,125
t,96
sə,71
f,65
n:,63
x,61
i,57
ma,54
a,52
he,51
da,51
e,48
o,48
k,43
hə,43
d,43
ta,42
nə,41
m:,40
mm,39
e:,31
ka,30
mə,29
kə,27
fə,27
mo,26
wa,24
ha,23
w,23
ni,23
ti,23
pə,23
ko,21
p,21
xə,21
pe,21
S,20
ba,19
to,18
mu,18
ə:,18
l,17
tu,17
jə,17
a:,17
s:,17
f:,16
ʔm,16
se,15
ʔə,15
oh,14
er,14
b,13
i:,13
au,13
j,13
an,12
tis,12
di,12
ef,12
v,12
hejsə,12
u:,12
bo,11
brrr,11
kei,11
h,11
bə,11
hə:,11
wə,11
lə,11
un,11
disə,11
tətə,11
um,11
fo,10
ʔn,10
uuu:,10
la,9
ho,9
brrrr,9
mm:,9
st,9
pss:,9
dis,9
ic,9
ət,9
ə>,9
sn,8
le,8
u,8
ata,8
pggg,8
s>,8
pin,8
tin,8
si:k,8
tapə,8
si,8
əs,8
ən,8
mam,8
nnn,8
pi,7
z,7
x:,7
po,7
wo,7
isə,7
ti:n,7
kein,7
A,6
r,6
tete,6
at,6
em,6
xe,6
tə:,6
ts,6
ma:,6
on,6
hi:,6
sa,6
be,6
sexə,6
teinə,6
ka:r,6
benə,6
ba:tjə,6
hi:tjə,6
tei,6
əf,6
tep,6
e>,6
O,6
sin,5
of,5
ap,5
ke,5
ek,5
va,5
g,5
poks,5
ei,5
x>,5
zə,5
his,5
v>,5
he>,5
f>,5
ntə,5
m>,5
tes,5
ja:xə,5
tu:,5
fax,5
bau,5
fa,5
dypo:s,5
ta:kəkə,5
san,5
x:x:x:,5
am,5
fin,5
tas,5
tys,5
hu,5
teiyfə,5
təs,5
fi,5
ʔe,5
nm,5
puboxə,5
trotrotro,5
fuut,4
jeej,4
ki,4
pot,4
tan,4
tuuu,4
ep,4
tau,4
huuuu,4
aah,4
sjjj,4
sei,4
fe,4
rrrr,4
brr,4
nda,4
hn:,4
ben,4
hn,4
kl,4
pə:,4
